ID,DENOM,TIPO,N_EDIZ,DESCRIZ,DATA_IN,ORA_IN,DATA_FINE,ORA FINE,ANNO,PROV,ISTAT,COMUNE,TOPONIMO,INDIRIZZO,CIVICO,CAP,SOMMINIS,SITO_WEB,NOME_ORG,PROGRAMMA,GEN_AUTOMATICA_PROGRAMMA,GEO_X,GEO_Y,location
19046,PEDENA ROCK,Sagra,6,Manifestazione di carattere ricreativo,03/08/2024,16:00,04/08/2024,23:59,2024,BS,017100,MALEGNO,LOCALITA',PEDENA,25053,25053,S,,Associazione E20 Malegno,https://www.procedimenti.servizirl.it/sagre/public/programma/19046,NO,10.2728852,45.95909061,POINT (10.2728852 45.95909061)
20030,TORNEO DI CALCIO,Sagra,1,,24/06/2024,19:00,24/06/2024,23:00,2024,BS,017117,NAVE,VIA,SAN FRANCESCO,22,25075,S,,ANA Gruppo Nave,https://www.procedimenti.servizirl.it/sagre/public/programma/20030,SI,10.27636543,45.58044682,POINT (10.27636543 45.58044682)
18535,24 ORE DI CALCIO,Sagra,2024,,21/06/2024,00:00,22/06/2024,23:59,2024,BS,017174,SAREZZO,VIA,MORETTO,,25068,S,,GUERINI PIERANGELO,https://www.procedimenti.servizirl.it/sagre/public/programma/18535,NO,10.18701916,45.67271749,POINT (10.18701916 45.67271749)
19639,FESTA DELLA BIRRA,Sagra,1,,30/05/2024,16:00,03/06/2024,23:30,2024,CR,019109,TRESCORE CREMASCO,VIALE,RISORGIMENTO,,26017,S,,PIACENTINI STEFANO,https://www.procedimenti.servizirl.it/sagre/public/programma/19639,SI,9.61686143,45.40001386,POINT (9.61686143 45.40001386)
18761,FESTA DELL'ORATORIO,Sagra,1,festa oratorio,06/06/2024,19:00,09/06/2024,23:30,2024,BS,017123,OME,VIA,PROVINCIALE,25050,25050,S,,DON LUCIANO BIANCHI,https://www.procedimenti.servizirl.it/sagre/public/programma/18761,NO,10.12201992,45.62240365,POINT (10.12201992 45.62240365)
18245,HOPYSEY,Fiera,0,,08/12/2024,00:00,08/12/2024,23:59,2024,BS,017085,ISEO,PIAZZA,GARIBALDI,25049,25049,N,,ASSOCIAZIONE HOPYSEY,https://www.procedimenti.servizirl.it/sagre/public/programma/18245,SI,10.04892482,45.65979092,POINT (10.04892482 45.65979092)
19496,SAGRA DI SAN ROCCO,Sagra,40,TORNEO DI CALCETTO E CENA A BASE DI PRODOTTI TIPICI,14/08/2024,12:00,18/08/2024,23:59,2024,SO,014030,FUSINE,PARCO,PARROCCHIALE,23010,23010,S,,GRUPPO FUSINE,https://www.procedimenti.servizirl.it/sagre/public/programma/19496,NO,9.7605845,46.10985583,POINT (9.7605845 46.10985583)
18902,FESTIVAL DELLA CARBONARA,Sagra,0,,06/09/2024,00:00,08/09/2024,23:59,2024,MB,108050,VIMERCATE,PIAZZA,UNITÀ D'ITALIA,,20871,S,,Tipico Eventi srl,https://www.procedimenti.servizirl.it/sagre/public/programma/18902,SI,9.37021655,45.61357861,POINT (9.37021655 45.61357861)
18833,FESTA DEL RUGBY,Sagra,0,,18/07/2024,18:00,28/07/2024,23:59,2024,BS,017081,GUSSAGO,VIA,GRAMSCI,60,25064,S,,GUSSAGO RUGBY CLUB,https://www.procedimenti.servizirl.it/sagre/public/programma/18833,SI,10.16283631,45.5845815,POINT (10.16283631 45.5845815)
18537,TORNEO DI PALLAVOLO,Sagra,2024,,25/06/2024,00:00,20/07/2024,23:59,2024,BS,017174,SAREZZO,VIA,MORETTO,,25068,S,,GUERINI PIERANGELO,https://www.procedimenti.servizirl.it/sagre/public/programma/18537,NO,10.18701916,45.67271749,POINT (10.18701916 45.67271749)
